Nodes,Tasks,ThreadsPerTask,TotalTime,CommTime,CompTime,Speedup,Efficiency
1,1,128,33.955789,0.082099,33.671102,1.0,1.0
2,2,128,17.353490,0.300344,16.947978,1.9567,.9783
4,4,128,8.985941,0.449303,8.529050,3.7787,.9446
